sale_id,product_id,customer_id,quantity,unit_price,total_amount,sale_date,sale_time
98001,64,10,3,85766.43,257299.29,2025-10-17,12:28:28
98002,28,95,9,40029.52,360265.68,2025-10-17,07:51:54
98003,15,130,10,62437.36,624373.6,2025-10-17,06:31:07
98004,26,86,2,62862.34,125724.68,2025-10-17,05:04:32
98005,4,129,9,72969.97,656729.73,2025-10-17,12:57:51
98006,71,147,3,92438.48,277315.44,2025-10-17,04:16:56
98007,60,8,6,85797.93,514787.58,2025-10-17,20:45:14
98008,120,10,9,94279.02,848511.18,2025-10-17,13:41:45
98009,39,134,3,18507.66,55522.98,2025-10-17,07:17:39
98010,18,20,4,90773.29,363093.16,2025-10-17,21:08:05
98011,64,128,3,31562.47,94687.41,2025-10-17,21:25:10
98012,84,63,7,39667.65,277673.55,2025-10-17,22:44:37
98013,26,91,9,65321.43,587892.87,2025-10-17,08:54:38
98014,34,114,10,32154.81,321548.1,2025-10-17,16:52:25
98015,32,128,6,91982.48,551894.88,2025-10-17,05:31:55
98016,54,16,7,39230.59,274614.13,2025-10-17,13:55:29
98017,64,14,3,54807.4,164422.2,2025-10-17,05:19:52
98018,73,66,9,64695.32,582257.88,2025-10-17,01:58:50
98019,110,89,8,69581.86,556654.88,2025-10-17,10:18:35
98020,25,78,5,57539.42,287697.1,2025-10-17,08:05:29
98021,97,142,10,65069.14,650691.4,2025-10-17,00:55:46
98022,68,76,6,36611.9,219671.4,2025-10-17,05:18:56
98023,31,4,3,26293.95,78881.85,2025-10-17,00:55:38
98024,78,70,5,64757.72,323788.6,2025-10-17,06:04:59
98025,74,122,6,67313.89,403883.34,2025-10-17,21:50:51
98026,98,110,2,22308.13,44616.26,2025-10-17,14:18:45
98027,19,143,3,19464.77,58394.31,2025-10-17,10:19:49
98028,68,13,2,66240.13,132480.26,2025-10-17,05:13:29
98029,10,83,4,52818.34,211273.36,2025-10-17,11:15:58
98030,85,122,10,43781.9,437819.0,2025-10-17,23:04:35
98031,11,86,5,18157.97,90789.85,2025-10-17,18:44:44
98032,102,41,3,51116.57,153349.71,2025-10-17,15:52:07
98033,76,9,5,10189.88,50949.4,2025-10-17,17:10:45
98034,30,20,8,40132.75,321062.0,2025-10-17,12:18:05
98035,16,64,10,59552.9,595529.0,2025-10-17,19:04:52
98036,16,116,10,21532.41,215324.1,2025-10-17,00:18:17
98037,75,64,1,61513.13,61513.13,2025-10-17,06:49:51
98038,119,142,5,41672.04,208360.2,2025-10-17,19:39:42
98039,70,8,9,51661.87,464956.83,2025-10-17,21:24:38
