sale_id,product_id,customer_id,quantity,unit_price,total_amount,sale_date,sale_time
53001,79,61,7,94048.3,658338.1,2025-10-17,08:36:02
53002,108,74,9,47611.4,428502.6,2025-10-17,00:18:19
53003,1,43,3,79458.28,238374.84,2025-10-17,05:35:52
53004,5,58,10,47537.58,475375.8,2025-10-17,23:28:45
53005,5,55,6,34528.0,207168.0,2025-10-17,12:05:44
53006,34,54,4,47188.13,188752.52,2025-10-17,02:20:08
53007,15,64,3,18203.82,54611.46,2025-10-17,17:05:08
53008,64,75,5,6572.98,32864.9,2025-10-17,12:07:49
53009,62,14,10,81422.96,814229.6,2025-10-17,20:42:41
53010,18,73,3,49552.11,148656.33,2025-10-17,10:16:45
53011,25,25,6,92156.62,552939.72,2025-10-17,02:14:26
53012,11,35,9,94664.76,851982.84,2025-10-17,08:59:19
53013,61,2,9,99714.18,897427.62,2025-10-17,15:58:11
53014,10,17,1,76358.05,76358.05,2025-10-17,21:59:23
53015,16,67,9,39058.02,351522.18,2025-10-17,09:00:45
53016,9,59,1,61322.7,61322.7,2025-10-17,23:49:58
53017,94,16,6,88353.74,530122.44,2025-10-17,02:59:34
53018,39,16,4,73776.83,295107.32,2025-10-17,05:35:49
53019,25,1,6,29069.66,174417.96,2025-10-17,15:24:03
53020,57,24,7,42252.87,295770.09,2025-10-17,13:42:26
53021,58,4,6,54987.33,329923.98,2025-10-17,02:06:18
53022,95,79,3,8468.76,25406.28,2025-10-17,00:39:06
53023,99,75,2,51360.31,102720.62,2025-10-17,07:36:00
53024,118,15,1,87186.95,87186.95,2025-10-17,00:13:29
53025,5,44,10,9054.37,90543.7,2025-10-17,15:42:05
53026,55,52,9,36678.87,330109.83,2025-10-17,15:50:12
53027,65,68,3,99862.97,299588.91,2025-10-17,06:49:31
53028,120,29,3,7016.12,21048.36,2025-10-17,04:50:36
53029,91,58,1,86314.77,86314.77,2025-10-17,11:22:06
53030,108,54,4,56144.56,224578.24,2025-10-17,13:53:35
53031,109,4,8,18714.64,149717.12,2025-10-17,01:38:54
53032,19,56,9,33794.11,304146.99,2025-10-17,08:54:40
53033,19,28,1,83075.3,83075.3,2025-10-17,06:25:17
53034,54,71,6,5080.81,30484.86,2025-10-17,12:55:20
53035,79,1,2,94081.73,188163.46,2025-10-17,12:13:01
53036,110,43,6,70574.62,423447.72,2025-10-17,02:45:38
53037,3,13,5,64526.79,322633.95,2025-10-17,13:25:29
53038,30,45,2,71222.39,142444.78,2025-10-17,07:30:04
53039,83,13,7,37207.27,260450.89,2025-10-17,11:07:28
53040,116,70,10,38174.29,381742.9,2025-10-17,02:56:45
53041,103,24,8,85509.1,684072.8,2025-10-17,06:53:29
53042,57,10,7,22269.63,155887.41,2025-10-17,07:54:50
53043,69,21,5,84819.72,424098.6,2025-10-17,17:55:35
53044,38,27,8,86372.16,690977.28,2025-10-17,18:40:17
53045,42,70,8,32739.23,261913.84,2025-10-17,03:25:18
53046,61,23,10,64806.03,648060.3,2025-10-17,05:16:31
53047,57,65,7,78182.41,547276.87,2025-10-17,01:42:36
53048,74,30,8,82316.38,658531.04,2025-10-17,06:12:51
