sale_id,product_id,customer_id,quantity,unit_price,total_amount,sale_date,sale_time
21001,63,1,6,54976.23,329857.38,2025-10-17,13:55:11
21002,118,8,8,31306.25,250450.0,2025-10-17,06:59:34
21003,83,4,6,74854.89,449129.34,2025-10-17,16:52:49
21004,91,8,4,42791.13,171164.52,2025-10-17,23:54:39
21005,104,9,5,28517.27,142586.35,2025-10-17,21:06:29
21006,62,7,4,88686.21,354744.84,2025-10-17,22:27:09
21007,114,8,5,1504.13,7520.65,2025-10-17,08:41:34
21008,5,3,5,93947.56,469737.8,2025-10-17,11:12:05
21009,110,8,8,2742.45,21939.6,2025-10-17,18:54:43
21010,57,10,3,82182.66,246547.98,2025-10-17,12:16:03
21011,62,4,6,61813.78,370882.68,2025-10-17,15:25:37
21012,95,2,2,10885.45,21770.9,2025-10-17,07:33:54
21013,113,9,8,5135.7,41085.6,2025-10-17,12:52:05
21014,85,10,8,42518.9,340151.2,2025-10-17,04:21:59
21015,69,3,3,89088.47,267265.41,2025-10-17,10:23:14
21016,98,1,2,51967.93,103935.86,2025-10-17,22:17:30
21017,25,2,1,65962.0,65962.0,2025-10-17,03:34:38
21018,53,1,7,29839.9,208879.3,2025-10-17,20:13:53
21019,63,5,4,76344.61,305378.44,2025-10-17,16:34:00
21020,3,7,10,1401.51,14015.1,2025-10-17,06:56:59
21021,20,10,6,30256.78,181540.68,2025-10-17,16:24:30
21022,47,7,4,39138.95,156555.8,2025-10-17,02:02:39
21023,65,1,1,93500.17,93500.17,2025-10-17,00:37:41
21024,105,1,1,38926.36,38926.36,2025-10-17,12:51:38
21025,109,7,4,20708.77,82835.08,2025-10-17,15:29:38
21026,18,7,5,23195.27,115976.35,2025-10-17,18:25:00
21027,28,6,3,59067.67,177203.01,2025-10-17,00:47:10
21028,32,9,7,16916.4,118414.8,2025-10-17,03:45:23
21029,103,5,10,96435.26,964352.6,2025-10-17,23:30:34
21030,96,2,8,55317.76,442542.08,2025-10-17,20:44:49
21031,79,5,6,92919.69,557518.14,2025-10-17,01:24:22
21032,88,7,8,17593.33,140746.64,2025-10-17,19:20:59
21033,64,5,10,3062.47,30624.7,2025-10-17,23:41:42
21034,98,7,4,58394.23,233576.92,2025-10-17,20:37:06
21035,11,5,2,11664.69,23329.38,2025-10-17,10:45:14
21036,63,7,4,20962.97,83851.88,2025-10-17,08:11:44
21037,43,2,4,77317.94,309271.76,2025-10-17,18:13:50
21038,48,8,4,32040.5,128162.0,2025-10-17,07:06:30
21039,104,6,4,20493.79,81975.16,2025-10-17,22:03:55
21040,50,4,4,59890.54,239562.16,2025-10-17,18:34:21
21041,25,2,5,44012.71,220063.55,2025-10-17,08:02:37
21042,114,3,3,56109.6,168328.8,2025-10-17,00:07:17
21043,38,5,2,47510.22,95020.44,2025-10-17,08:37:21
21044,36,4,8,25616.37,204930.96,2025-10-17,13:35:40
21045,89,9,1,64642.79,64642.79,2025-10-17,10:54:19
21046,105,3,7,16726.66,117086.62,2025-10-17,10:46:56
21047,41,1,1,19059.26,19059.26,2025-10-17,23:58:48
21048,90,4,9,32809.92,295289.28,2025-10-17,12:31:49
21049,1,9,2,86118.43,172236.86,2025-10-17,14:50:23
21050,113,4,3,60326.54,180979.62,2025-10-17,02:02:18
21051,40,5,6,36063.03,216378.18,2025-10-17,14:49:29
21052,91,2,7,7020.26,49141.82,2025-10-17,07:05:54
21053,34,9,6,65012.11,390072.66,2025-10-17,01:30:37
21054,13,7,3,28171.29,84513.87,2025-10-17,04:14:35
21055,89,6,10,59290.89,592908.9,2025-10-17,21:33:53
21056,103,9,5,66412.97,332064.85,2025-10-17,06:15:42
21057,83,2,3,26028.18,78084.54,2025-10-17,15:25:35
21058,69,8,3,79994.8,239984.4,2025-10-17,02:09:38
21059,71,7,5,59825.01,299125.05,2025-10-17,01:13:30
21060,112,5,7,86214.42,603500.94,2025-10-17,03:19:53
21061,65,5,4,26326.69,105306.76,2025-10-17,23:33:44
21062,6,5,3,79491.01,238473.03,2025-10-17,16:37:51
21063,85,2,4,37940.59,151762.36,2025-10-17,11:58:35
21064,81,8,3,93673.17,281019.51,2025-10-17,18:50:26
21065,23,2,6,41406.01,248436.06,2025-10-17,06:05:25
21066,100,1,10,73917.94,739179.4,2025-10-17,04:22:35
21067,58,6,10,65471.74,654717.4,2025-10-17,04:09:02
21068,113,7,5,83937.07,419685.35,2025-10-17,10:31:47
21069,53,1,6,83360.96,500165.76,2025-10-17,16:47:08
21070,12,5,6,42872.63,257235.78,2025-10-17,04:01:22
21071,71,4,3,4991.39,14974.17,2025-10-17,12:30:43
21072,18,1,8,14453.61,115628.88,2025-10-17,23:27:36
21073,27,7,2,93951.97,187903.94,2025-10-17,20:59:17
21074,54,6,7,21569.69,150987.83,2025-10-17,11:10:46
21075,63,5,3,4464.93,13394.79,2025-10-17,04:03:07
21076,74,1,6,14957.99,89747.94,2025-10-17,18:07:19
21077,96,6,10,43914.07,439140.7,2025-10-17,00:23:45
21078,82,1,7,18062.91,126440.37,2025-10-17,03:22:33
21079,56,6,1,24572.91,24572.91,2025-10-17,09:28:52
21080,15,4,6,2379.92,14279.52,2025-10-17,14:18:22
21081,16,10,6,66166.15,396996.9,2025-10-17,11:32:19
21082,41,4,9,30183.58,271652.22,2025-10-17,13:28:37
21083,107,4,5,83981.54,419907.7,2025-10-17,22:58:37
21084,69,4,1,25263.69,25263.69,2025-10-17,09:57:07
21085,69,10,4,38305.78,153223.12,2025-10-17,07:16:41
21086,4,2,9,80963.68,728673.12,2025-10-17,15:11:51
21087,13,1,8,58555.7,468445.6,2025-10-17,10:41:50
21088,12,10,7,43336.31,303354.17,2025-10-17,19:28:13
21089,33,6,8,1160.09,9280.72,2025-10-17,16:00:08
21090,39,5,9,52270.97,470438.73,2025-10-17,06:02:57
21091,73,6,7,5882.31,41176.17,2025-10-17,22:35:35
21092,111,2,2,71347.57,142695.14,2025-10-17,00:05:12
21093,50,8,5,48434.89,242174.45,2025-10-17,08:02:53
21094,13,7,2,92310.4,184620.8,2025-10-17,17:37:52
21095,101,7,8,15678.69,125429.52,2025-10-17,03:14:56
21096,35,10,6,22963.22,137779.32,2025-10-17,05:38:53
21097,7,3,10,52217.05,522170.5,2025-10-17,07:06:36
21098,21,10,8,80919.43,647355.44,2025-10-17,14:17:01
21099,2,4,8,93569.93,748559.44,2025-10-17,14:58:55
21100,45,10,2,58811.71,117623.42,2025-10-17,08:31:18
21101,5,8,4,67098.38,268393.52,2025-10-17,01:32:11
21102,36,6,3,16649.73,49949.19,2025-10-17,10:49:14
21103,114,8,10,80462.52,804625.2,2025-10-17,08:38:02
21104,33,2,10,63384.76,633847.6,2025-10-17,08:42:49
21105,113,7,1,88831.14,88831.14,2025-10-17,04:39:10
21106,17,10,4,32276.77,129107.08,2025-10-17,22:50:45
21107,117,6,5,11433.83,57169.15,2025-10-17,11:34:42
21108,19,7,5,99418.52,497092.6,2025-10-17,00:48:20
21109,63,3,8,26101.07,208808.56,2025-10-17,06:59:53
21110,73,9,8,8585.19,68681.52,2025-10-17,12:17:41
21111,105,9,7,13271.17,92898.19,2025-10-17,18:01:42
21112,24,4,9,60474.53,544270.77,2025-10-17,11:18:47
21113,51,4,10,93528.71,935287.1,2025-10-17,07:41:57
21114,78,1,1,99301.47,99301.47,2025-10-17,11:05:05
21115,116,8,7,89935.74,629550.18,2025-10-17,04:51:35
21116,45,1,5,18575.96,92879.8,2025-10-17,16:16:08
21117,3,6,4,48807.17,195228.68,2025-10-17,11:09:02
21118,106,6,1,91892.23,91892.23,2025-10-17,11:09:15
21119,42,8,7,69885.14,489195.98,2025-10-17,03:24:43
21120,61,7,10,52291.16,522911.6,2025-10-17,07:31:09
21121,39,9,8,76448.13,611585.04,2025-10-17,08:40:20
21122,99,9,6,96388.12,578328.72,2025-10-17,19:23:13
21123,46,10,1,16750.56,16750.56,2025-10-17,11:52:01
21124,16,3,2,61896.78,123793.56,2025-10-17,15:33:39
21125,118,3,4,39391.12,157564.48,2025-10-17,09:23:53
21126,114,6,7,50869.71,356087.97,2025-10-17,19:32:50
21127,101,2,8,56297.59,450380.72,2025-10-17,07:43:00
21128,115,1,1,63108.04,63108.04,2025-10-17,07:56:36
21129,80,1,8,51534.1,412272.8,2025-10-17,05:42:36
21130,64,1,9,86876.63,781889.67,2025-10-17,13:21:51
21131,65,2,10,77731.25,777312.5,2025-10-17,09:03:50
21132,50,1,9,86027.81,774250.29,2025-10-17,06:12:18
21133,19,1,4,1002.63,4010.52,2025-10-17,13:16:32
21134,71,5,1,4901.09,4901.09,2025-10-17,06:12:57
21135,49,10,4,5496.63,21986.52,2025-10-17,18:56:36
21136,111,2,5,60133.22,300666.1,2025-10-17,07:45:55
21137,34,6,5,14477.02,72385.1,2025-10-17,07:14:57
21138,101,1,8,15620.74,124965.92,2025-10-17,06:58:16
21139,29,5,8,62237.83,497902.64,2025-10-17,05:03:05
21140,66,8,3,78194.16,234582.48,2025-10-17,18:42:54
21141,31,8,1,25930.87,25930.87,2025-10-17,21:11:54
21142,82,2,4,87780.95,351123.8,2025-10-17,18:32:52
21143,20,9,4,58537.17,234148.68,2025-10-17,01:12:33
21144,14,1,10,1183.44,11834.4,2025-10-17,18:35:10
21145,47,4,7,16940.95,118586.65,2025-10-17,13:22:31
21146,92,7,8,89045.7,712365.6,2025-10-17,16:58:44
21147,3,3,9,90596.79,815371.11,2025-10-17,10:24:42
21148,37,10,5,14899.99,74499.95,2025-10-17,03:24:15
21149,88,9,10,14985.83,149858.3,2025-10-17,13:06:29
21150,62,5,1,70634.95,70634.95,2025-10-17,11:33:04
21151,44,9,3,64741.16,194223.48,2025-10-17,16:20:53
21152,119,3,6,93051.75,558310.5,2025-10-17,07:45:43
21153,117,8,7,70089.95,490629.65,2025-10-17,17:26:20
21154,51,2,4,34277.08,137108.32,2025-10-17,21:34:27
21155,19,4,4,75108.9,300435.6,2025-10-17,23:49:04
21156,52,10,5,30370.89,151854.45,2025-10-17,04:50:08
21157,28,5,2,6265.28,12530.56,2025-10-17,04:04:05
21158,115,5,2,36418.82,72837.64,2025-10-17,03:58:50
21159,116,10,5,3932.26,19661.3,2025-10-17,12:23:11
21160,27,6,4,91831.28,367325.12,2025-10-17,12:07:41
21161,114,5,6,8496.21,50977.26,2025-10-17,14:55:31
21162,33,6,1,12316.74,12316.74,2025-10-17,19:24:19
21163,33,10,6,92349.47,554096.82,2025-10-17,06:27:23
21164,29,1,7,8378.87,58652.09,2025-10-17,23:20:49
21165,117,5,10,81322.24,813222.4,2025-10-17,03:29:41
21166,101,3,7,28487.74,199414.18,2025-10-17,15:15:58
21167,34,10,1,10898.99,10898.99,2025-10-17,22:02:09
21168,41,4,7,95921.61,671451.27,2025-10-17,03:06:31
21169,58,3,3,39373.74,118121.22,2025-10-17,23:11:48
21170,4,6,3,87776.14,263328.42,2025-10-17,02:10:50
21171,103,3,1,49486.53,49486.53,2025-10-17,08:14:33
21172,61,6,6,52447.45,314684.7,2025-10-17,22:41:31
21173,113,1,9,52627.07,473643.63,2025-10-17,23:30:39
21174,40,5,5,62665.23,313326.15,2025-10-17,04:28:21
21175,54,2,4,46284.95,185139.8,2025-10-17,20:21:59
21176,37,1,1,70867.89,70867.89,2025-10-17,13:18:15
21177,46,5,8,88344.14,706753.12,2025-10-17,14:02:54
21178,15,5,4,19536.22,78144.88,2025-10-17,22:41:08
21179,3,8,7,16345.81,114420.67,2025-10-17,04:44:03
21180,96,1,10,80759.59,807595.9,2025-10-17,08:44:01
21181,108,1,10,15264.2,152642.0,2025-10-17,09:37:51
21182,59,3,10,22022.59,220225.9,2025-10-17,03:30:26
21183,29,5,2,20246.04,40492.08,2025-10-17,22:11:50
21184,61,5,9,59857.98,538721.82,2025-10-17,12:27:27
21185,84,6,8,49961.98,399695.84,2025-10-17,14:27:41
21186,39,3,7,95249.12,666743.84,2025-10-17,13:27:51
21187,105,3,3,15333.19,45999.57,2025-10-17,19:42:10
21188,85,6,8,85537.4,684299.2,2025-10-17,22:57:01
21189,119,8,3,6883.08,20649.24,2025-10-17,07:04:39
21190,116,5,2,51887.13,103774.26,2025-10-17,23:39:12
21191,98,9,9,25982.52,233842.68,2025-10-17,22:32:08
21192,112,4,4,39099.6,156398.4,2025-10-17,02:09:19
21193,47,2,2,19441.05,38882.1,2025-10-17,21:25:10
21194,38,9,8,1047.97,8383.76,2025-10-17,08:28:27
21195,46,3,9,87379.46,786415.14,2025-10-17,18:58:51
21196,57,9,8,93162.76,745302.08,2025-10-17,11:26:08
21197,77,6,3,93597.69,280793.07,2025-10-17,00:18:16
21198,19,9,6,95425.88,572555.28,2025-10-17,07:55:53
21199,117,5,9,21533.46,193801.14,2025-10-17,09:24:54
21200,24,10,6,64812.95,388877.7,2025-10-17,22:28:57
21201,94,7,4,8553.15,34212.6,2025-10-17,08:12:36
21202,86,9,1,58278.01,58278.01,2025-10-17,01:28:58
21203,54,5,7,58871.81,412102.67,2025-10-17,12:01:10
21204,32,10,8,70880.43,567043.44,2025-10-17,00:50:36
21205,34,4,2,45484.93,90969.86,2025-10-17,11:56:22
21206,117,3,6,12309.21,73855.26,2025-10-17,13:16:42
21207,46,1,9,60502.55,544522.95,2025-10-17,03:36:25
21208,42,9,3,40866.46,122599.38,2025-10-17,19:26:41
21209,52,1,8,66423.42,531387.36,2025-10-17,17:10:03
21210,85,5,3,77143.27,231429.81,2025-10-17,12:48:45
21211,84,6,6,95628.96,573773.76,2025-10-17,16:51:26
21212,87,7,9,4490.71,40416.39,2025-10-17,17:43:51
21213,28,9,4,29489.58,117958.32,2025-10-17,05:34:05
21214,79,1,7,39286.19,275003.33,2025-10-17,11:52:59
21215,31,9,8,81091.28,648730.24,2025-10-17,16:33:57
21216,96,7,2,76371.36,152742.72,2025-10-17,07:44:48
21217,19,5,2,81154.77,162309.54,2025-10-17,17:44:48
21218,35,2,3,75280.64,225841.92,2025-10-17,03:22:57
21219,20,2,6,33189.6,199137.6,2025-10-17,03:53:32
21220,112,5,7,7793.23,54552.61,2025-10-17,11:06:36
21221,40,7,9,73470.27,661232.43,2025-10-17,09:14:23
21222,4,4,7,76394.4,534760.8,2025-10-17,17:37:49
21223,30,6,4,37703.51,150814.04,2025-10-17,04:36:15
21224,40,9,9,64531.82,580786.38,2025-10-17,03:44:15
21225,77,6,3,15551.99,46655.97,2025-10-17,07:17:43
21226,2,1,8,99779.18,798233.44,2025-10-17,11:57:43
21227,100,2,7,79986.94,559908.58,2025-10-17,19:26:15
21228,97,7,7,58835.08,411845.56,2025-10-17,19:06:40
21229,100,2,5,27197.84,135989.2,2025-10-17,01:26:02
21230,118,8,3,31553.32,94659.96,2025-10-17,02:47:53
21231,40,10,10,71501.05,715010.5,2025-10-17,00:28:36
21232,54,7,4,23684.49,94737.96,2025-10-17,02:10:28
21233,57,1,10,90355.44,903554.4,2025-10-17,02:50:23
21234,118,6,7,96847.42,677931.94,2025-10-17,15:33:37
21235,69,3,3,65431.21,196293.63,2025-10-17,22:10:08
21236,91,8,1,54680.56,54680.56,2025-10-17,19:35:11
21237,55,2,9,79191.88,712726.92,2025-10-17,19:00:39
21238,43,3,9,38600.2,347401.8,2025-10-17,15:40:34
21239,56,3,7,23040.65,161284.55,2025-10-17,20:52:30
21240,16,10,6,75984.55,455907.3,2025-10-17,20:17:37
21241,43,8,10,38099.48,380994.8,2025-10-17,17:07:57
21242,48,8,1,48334.52,48334.52,2025-10-17,02:51:45
21243,57,5,5,98598.84,492994.2,2025-10-17,12:11:55
21244,58,10,7,24497.89,171485.23,2025-10-17,09:43:03
21245,77,8,3,54371.12,163113.36,2025-10-17,11:42:27
21246,63,9,7,94772.42,663406.94,2025-10-17,09:36:17
21247,45,10,6,2547.05,15282.3,2025-10-17,17:45:25
21248,74,4,5,62880.57,314402.85,2025-10-17,11:20:47
21249,39,3,8,38675.5,309404.0,2025-10-17,04:50:51
21250,79,5,8,98082.8,784662.4,2025-10-17,13:47:57
21251,41,9,3,35067.96,105203.88,2025-10-17,11:08:17
21252,40,4,3,19628.82,58886.46,2025-10-17,16:56:49
21253,51,3,5,31850.37,159251.85,2025-10-17,09:21:41
21254,44,8,4,18277.4,73109.6,2025-10-17,10:36:53
21255,101,2,10,8537.45,85374.5,2025-10-17,13:32:00
21256,87,8,7,6159.57,43116.99,2025-10-17,21:48:46
21257,95,3,7,91970.68,643794.76,2025-10-17,10:56:46
21258,98,10,3,85546.04,256638.12,2025-10-17,06:26:26
21259,42,2,1,20041.87,20041.87,2025-10-17,11:42:28
21260,91,3,2,70400.84,140801.68,2025-10-17,16:35:08
21261,56,10,5,18649.22,93246.1,2025-10-17,20:34:14
21262,12,2,7,75331.01,527317.07,2025-10-17,23:29:29
21263,89,5,10,12174.88,121748.8,2025-10-17,01:17:17
21264,117,3,1,54827.45,54827.45,2025-10-17,07:34:40
21265,117,10,10,80377.07,803770.7,2025-10-17,06:13:55
21266,70,5,6,86301.74,517810.44,2025-10-17,12:56:47
21267,104,4,8,75527.72,604221.76,2025-10-17,12:54:17
21268,102,8,3,44005.56,132016.68,2025-10-17,23:19:33
21269,100,2,5,62955.64,314778.2,2025-10-17,02:14:55
21270,75,10,5,66899.22,334496.1,2025-10-17,14:01:29
21271,98,3,1,57652.5,57652.5,2025-10-17,01:24:57
21272,79,9,10,33939.7,339397.0,2025-10-17,03:17:04
21273,47,7,7,73379.59,513657.13,2025-10-17,09:12:51
21274,34,7,9,71871.73,646845.57,2025-10-17,09:24:19
21275,94,7,10,57542.61,575426.1,2025-10-17,22:32:13
21276,62,7,7,31505.05,220535.35,2025-10-17,22:50:38
21277,35,8,3,93832.45,281497.35,2025-10-17,21:13:45
21278,46,4,4,90405.78,361623.12,2025-10-17,08:34:53
