sale_id,product_id,customer_id,quantity,unit_price,total_amount,sale_date,sale_time
1,56,68,1,41173.0,41173.0,2025-10-15,14:48:52
2,66,123,4,52844.17,211376.68,2025-10-15,22:00:40
3,38,92,9,7153.5,64381.5,2025-10-15,23:10:33
4,54,143,8,5460.36,43682.88,2025-10-15,22:36:39
5,19,104,4,20083.69,80334.76,2025-10-15,19:50:05
6,69,106,2,52316.19,104632.38,2025-10-15,14:52:10
7,56,57,10,48649.31,486493.1,2025-10-15,19:11:46
8,105,66,5,12701.03,63505.15,2025-10-15,06:26:32
9,89,74,8,48499.32,387994.56,2025-10-15,05:25:11
10,45,146,7,78210.72,547475.04,2025-10-15,10:50:43
11,116,139,10,50722.2,507222.0,2025-10-15,20:23:01
12,36,80,10,90073.69,900736.9,2025-10-15,04:07:53
13,26,109,4,60584.26,242337.04,2025-10-15,15:38:01
14,105,78,10,3094.69,30946.9,2025-10-15,16:35:34
15,49,31,7,68432.67,479028.69,2025-10-15,13:53:36
16,79,129,1,67065.37,67065.37,2025-10-15,01:51:26
17,12,135,6,50033.61,300201.66,2025-10-15,07:12:39
18,73,93,1,27368.15,27368.15,2025-10-15,10:37:25
19,32,59,3,81614.15,244842.45,2025-10-15,22:06:01
20,8,19,4,95564.05,382256.2,2025-10-15,14:45:10
21,58,53,7,57950.23,405651.61,2025-10-15,11:52:21
22,47,117,3,88541.75,265625.25,2025-10-15,02:31:20
23,72,81,2,84044.43,168088.86,2025-10-15,07:46:54
24,45,99,5,61701.65,308508.25,2025-10-15,15:24:46
25,56,149,8,21007.39,168059.12,2025-10-15,10:04:34
26,30,68,10,56087.0,560870.0,2025-10-15,05:39:36
27,10,64,8,53864.74,430917.92,2025-10-15,06:12:21
28,78,138,9,40968.6,368717.4,2025-10-15,09:06:06
29,35,29,2,13985.4,27970.8,2025-10-15,07:01:55
30,62,75,6,62631.15,375786.9,2025-10-15,12:27:11
31,86,48,10,62982.98,629829.8,2025-10-15,15:00:06
32,34,6,8,23591.38,188731.04,2025-10-15,04:22:33
33,107,64,1,69693.52,69693.52,2025-10-15,23:22:32
34,59,118,8,40331.41,322651.28,2025-10-15,17:16:37
35,27,74,4,97674.42,390697.68,2025-10-15,14:28:32
36,64,40,10,5602.71,56027.1,2025-10-15,19:24:30
37,48,23,6,32013.83,192082.98,2025-10-15,14:29:09
38,120,38,7,23112.91,161790.37,2025-10-15,07:41:03
39,11,41,10,2946.08,29460.8,2025-10-15,09:55:10
40,98,105,4,25064.61,100258.44,2025-10-15,07:12:16
41,1,6,5,55364.12,276820.6,2025-10-15,13:48:16
42,94,85,9,49518.88,445669.92,2025-10-15,20:57:45
43,2,92,2,9723.61,19447.22,2025-10-15,00:08:59
44,42,42,2,20232.0,40464.0,2025-10-15,19:38:03
45,22,52,5,95443.95,477219.75,2025-10-15,19:36:29
46,34,26,5,57203.4,286017.0,2025-10-15,14:59:14
47,81,39,9,80944.59,728501.31,2025-10-15,18:50:17
48,105,135,5,65877.15,329385.75,2025-10-15,06:08:36
49,26,101,10,99156.75,991567.5,2025-10-15,02:00:16
50,120,45,4,78764.58,315058.32,2025-10-15,12:20:12
51,100,31,3,8227.23,24681.69,2025-10-15,09:13:01
52,104,71,3,69427.57,208282.71,2025-10-15,08:41:54
53,37,88,4,79563.12,318252.48,2025-10-15,15:59:17
54,56,90,5,77123.53,385617.65,2025-10-15,02:14:27
55,70,72,1,39890.51,39890.51,2025-10-15,10:12:54
56,35,22,9,32916.75,296250.75,2025-10-15,00:05:49
57,43,76,10,29598.15,295981.5,2025-10-15,07:03:23
58,36,32,2,66092.01,132184.02,2025-10-15,13:47:12
59,7,149,8,45856.65,366853.2,2025-10-15,19:22:34
60,19,77,1,26244.3,26244.3,2025-10-15,09:06:35
61,7,26,8,46655.64,373245.12,2025-10-15,00:40:27
62,64,120,1,26950.21,26950.21,2025-10-15,05:27:44
63,57,136,7,13618.97,95332.79,2025-10-15,13:25:41
64,34,133,5,2643.25,13216.25,2025-10-15,06:47:09
65,110,100,3,29005.89,87017.67,2025-10-15,23:48:43
66,100,65,1,31246.29,31246.29,2025-10-15,16:43:35
67,98,119,10,42011.55,420115.5,2025-10-15,17:07:33
68,8,22,6,87894.46,527366.76,2025-10-15,19:35:06
69,104,123,3,95592.3,286776.9,2025-10-15,14:44:06
70,68,129,6,62069.66,372417.96,2025-10-15,04:51:43
71,115,79,4,32236.92,128947.68,2025-10-15,07:51:09
72,95,71,2,22033.17,44066.34,2025-10-15,10:12:13
73,21,95,7,38440.0,269080.0,2025-10-15,09:22:18
74,119,114,8,57582.65,460661.2,2025-10-15,00:20:16
75,36,59,10,73632.26,736322.6,2025-10-15,01:51:44
76,7,104,10,33281.94,332819.4,2025-10-15,18:14:46
77,29,37,2,97567.97,195135.94,2025-10-15,05:49:40
78,6,92,7,62949.85,440648.95,2025-10-15,05:14:30
79,21,141,6,98240.57,589443.42,2025-10-15,20:24:47
80,60,83,9,16247.08,146223.72,2025-10-15,21:10:15
81,19,59,9,7257.25,65315.25,2025-10-15,08:19:38
82,77,65,8,47414.1,379312.8,2025-10-15,05:01:42
83,112,47,3,1547.27,4641.81,2025-10-15,07:44:37
84,25,49,7,26417.38,184921.66,2025-10-15,07:57:30
85,86,86,5,8030.02,40150.1,2025-10-15,00:38:47
86,46,62,1,19494.4,19494.4,2025-10-15,13:29:46
87,23,69,9,74059.94,666539.46,2025-10-15,03:59:14
88,101,56,1,45194.31,45194.31,2025-10-15,03:55:16
89,98,99,2,81216.43,162432.86,2025-10-15,08:01:47
90,116,135,7,37538.89,262772.23,2025-10-15,15:24:01
91,53,7,3,81115.5,243346.5,2025-10-15,23:33:59
92,76,8,3,44721.33,134163.99,2025-10-15,14:53:20
93,3,137,3,99967.26,299901.78,2025-10-15,08:29:20
94,79,37,3,1071.08,3213.24,2025-10-15,21:12:27
95,66,72,2,4282.35,8564.7,2025-10-15,20:55:47
96,113,18,1,64235.14,64235.14,2025-10-15,07:22:53
97,87,43,6,35530.28,213181.68,2025-10-15,16:06:04
98,31,147,7,47498.55,332489.85,2025-10-15,21:12:37
99,14,21,6,76988.95,461933.7,2025-10-15,11:02:40
100,19,33,2,68067.64,136135.28,2025-10-15,07:36:40
101,15,67,4,83854.96,335419.84,2025-10-15,11:53:33
102,62,70,6,51968.42,311810.52,2025-10-15,05:58:31
103,64,69,9,31438.09,282942.81,2025-10-15,07:07:39
104,48,48,8,1939.0,15512.0,2025-10-15,07:43:31
105,58,25,8,40285.61,322284.88,2025-10-15,16:30:02
106,64,37,10,80637.67,806376.7,2025-10-15,19:52:06
107,15,114,6,37093.02,222558.12,2025-10-15,09:29:29
108,105,94,1,67045.63,67045.63,2025-10-15,06:26:05
109,103,141,3,62679.93,188039.79,2025-10-15,22:17:54
110,113,18,2,93957.73,187915.46,2025-10-15,18:21:13
111,67,112,7,82270.46,575893.22,2025-10-15,06:41:20
112,24,93,8,46049.68,368397.44,2025-10-15,21:51:10
113,92,78,9,59463.32,535169.88,2025-10-15,01:24:36
114,63,97,2,67375.43,134750.86,2025-10-15,05:01:58
115,86,81,2,92837.7,185675.4,2025-10-15,14:10:22
116,11,116,10,25450.71,254507.1,2025-10-15,11:07:20
117,38,87,3,24267.85,72803.55,2025-10-15,04:03:12
118,56,130,8,35685.04,285480.32,2025-10-15,03:16:24
119,25,150,5,52083.05,260415.25,2025-10-15,21:31:45
120,29,112,3,22560.3,67680.9,2025-10-15,03:11:05
121,93,145,5,56211.68,281058.4,2025-10-15,17:16:25
122,66,116,5,45089.93,225449.65,2025-10-15,08:26:25
123,88,117,3,1981.37,5944.11,2025-10-15,16:09:25
124,118,49,3,1187.58,3562.74,2025-10-15,23:42:16
125,46,116,8,58696.13,469569.04,2025-10-15,03:31:14
126,116,139,4,8434.0,33736.0,2025-10-15,14:59:35
127,120,31,1,23825.94,23825.94,2025-10-15,14:20:17
128,27,124,1,38220.45,38220.45,2025-10-15,21:28:54
129,91,127,1,30023.86,30023.86,2025-10-15,22:25:50
130,7,40,2,65630.3,131260.6,2025-10-15,06:22:20
131,92,5,1,18676.16,18676.16,2025-10-15,02:01:37
132,27,65,5,53080.77,265403.85,2025-10-15,11:34:04
133,47,57,4,53306.17,213224.68,2025-10-15,00:08:50
134,109,97,1,11389.08,11389.08,2025-10-15,15:50:08
135,24,43,3,92851.91,278555.73,2025-10-15,14:13:16
136,55,34,2,12555.64,25111.28,2025-10-15,07:09:04
137,8,14,4,92873.05,371492.2,2025-10-15,23:35:39
138,95,29,7,41220.07,288540.49,2025-10-15,20:15:11
139,51,74,10,60057.84,600578.4,2025-10-15,11:58:27
140,6,54,4,19629.22,78516.88,2025-10-15,12:16:54
141,108,75,9,7301.82,65716.38,2025-10-15,03:36:59
142,65,87,8,3972.09,31776.72,2025-10-15,15:10:44
143,47,38,9,27539.24,247853.16,2025-10-15,13:11:23
144,30,30,8,64294.7,514357.6,2025-10-15,09:45:36
145,60,24,4,53999.85,215999.4,2025-10-15,03:25:11
146,112,27,2,2252.04,4504.08,2025-10-15,09:03:04
147,66,104,7,32621.0,228347.0,2025-10-15,04:26:30
148,26,32,2,71861.86,143723.72,2025-10-15,02:46:01
149,99,149,8,52205.17,417641.36,2025-10-15,04:35:13
150,118,93,2,99710.94,199421.88,2025-10-15,10:16:20
