sale_id,product_id,customer_id,quantity,unit_price,total_amount,sale_date,sale_time
1,22,26,8,48926.22,391409.76,2025-10-15,04:34:02
2,69,14,1,43991.48,43991.48,2025-10-15,18:05:37
3,31,25,2,14582.68,29165.36,2025-10-15,18:33:34
4,116,17,5,91338.81,456694.05,2025-10-15,20:34:10
5,14,57,3,5179.53,15538.59,2025-10-15,09:47:04
6,16,76,3,90299.43,270898.29,2025-10-15,06:58:00
7,103,51,8,10429.09,83432.72,2025-10-15,11:34:45
8,9,32,8,94589.42,756715.36,2025-10-15,12:28:58
9,24,37,4,4552.6,18210.4,2025-10-15,01:37:19
10,17,76,10,85816.57,858165.7,2025-10-15,19:06:03
11,16,3,1,89099.49,89099.49,2025-10-15,01:17:34
12,76,11,2,55316.02,110632.04,2025-10-15,07:04:33
13,52,3,10,48404.45,484044.5,2025-10-15,11:09:58
14,9,80,9,97476.34,877287.06,2025-10-15,09:23:24
15,4,71,3,68701.13,206103.39,2025-10-15,01:40:59
16,88,4,3,66460.65,199381.95,2025-10-15,18:25:33
17,42,36,8,55812.6,446500.8,2025-10-15,04:41:50
18,8,3,7,14713.93,102997.51,2025-10-15,08:40:59
19,57,63,9,17373.91,156365.19,2025-10-15,04:23:23
20,20,8,7,7739.64,54177.48,2025-10-15,09:18:11
21,69,69,1,4503.13,4503.13,2025-10-15,06:31:37
22,91,1,2,21147.33,42294.66,2025-10-15,21:46:47
23,45,47,3,87692.02,263076.06,2025-10-15,10:06:45
24,71,47,9,66855.0,601695.0,2025-10-15,09:25:01
25,98,71,5,23150.27,115751.35,2025-10-15,09:10:02
26,119,4,3,8011.57,24034.71,2025-10-15,10:42:33
27,89,33,8,2820.22,22561.76,2025-10-15,01:57:39
28,82,60,8,99325.62,794604.96,2025-10-15,00:05:35
29,46,44,5,43346.88,216734.4,2025-10-15,08:02:22
30,81,24,2,7609.48,15218.96,2025-10-15,00:06:00
31,63,29,7,41314.57,289201.99,2025-10-15,07:05:22
32,6,80,6,99234.61,595407.66,2025-10-15,11:36:02
33,24,68,7,19992.09,139944.63,2025-10-15,06:07:58
34,45,37,7,7447.23,52130.61,2025-10-15,14:56:49
35,104,5,8,80831.2,646649.6,2025-10-15,17:46:27
36,52,51,8,11073.58,88588.64,2025-10-15,21:22:37
37,38,51,2,94367.97,188735.94,2025-10-15,06:55:43
38,77,11,5,91920.26,459601.3,2025-10-15,19:07:47
39,55,41,10,77397.94,773979.4,2025-10-15,10:53:00
40,31,74,5,16937.99,84689.95,2025-10-15,19:33:29
41,1,35,4,57812.46,231249.84,2025-10-15,14:24:51
42,108,18,10,25224.05,252240.5,2025-10-15,19:12:49
43,43,13,9,83699.75,753297.75,2025-10-15,20:56:14
44,69,8,3,41376.69,124130.07,2025-10-15,19:00:53
45,86,47,8,65891.04,527128.32,2025-10-15,17:39:16
46,119,8,1,72604.34,72604.34,2025-10-15,21:50:01
47,79,23,3,24288.53,72865.59,2025-10-15,17:28:03
48,86,25,8,73830.99,590647.92,2025-10-15,23:12:28
49,120,63,4,66926.35,267705.4,2025-10-15,19:27:16
50,54,25,10,96907.13,969071.3,2025-10-15,17:05:15
51,87,36,4,20295.64,81182.56,2025-10-15,20:32:04
52,9,22,8,50809.29,406474.32,2025-10-15,21:39:09
53,106,26,5,69610.8,348054.0,2025-10-15,16:54:05
54,47,49,8,19996.02,159968.16,2025-10-15,18:44:25
55,105,12,10,72418.77,724187.7,2025-10-15,19:36:13
56,28,38,7,84846.11,593922.77,2025-10-15,10:17:54
57,76,12,9,96379.25,867413.25,2025-10-15,11:37:01
58,100,65,4,92183.61,368734.44,2025-10-15,03:54:34
59,8,67,1,99821.96,99821.96,2025-10-15,21:19:16
60,14,44,9,32947.1,296523.9,2025-10-15,02:17:23
61,85,31,3,17258.98,51776.94,2025-10-15,17:16:43
62,50,3,8,53890.09,431120.72,2025-10-15,16:56:47
