sale_id,product_id,customer_id,quantity,unit_price,total_amount,sale_date,sale_time
1,4,2,6,53540.58,321243.48,2025-10-15,04:20:04
2,50,7,5,46556.47,232782.35,2025-10-15,12:41:16
3,31,7,6,41175.94,247055.64,2025-10-15,00:49:00
4,75,1,6,44557.61,267345.66,2025-10-15,14:30:59
5,88,2,7,13353.27,93472.89,2025-10-15,09:15:14
6,95,2,6,92100.52,552603.12,2025-10-15,13:35:15
7,54,3,3,60937.65,182812.95,2025-10-15,11:05:27
8,12,3,2,80100.24,160200.48,2025-10-15,22:36:03
9,11,5,5,72111.12,360555.6,2025-10-15,10:05:14
10,37,3,9,49198.36,442785.24,2025-10-15,03:08:50
11,15,1,6,15953.51,95721.06,2025-10-15,16:39:30
12,51,3,2,44213.3,88426.6,2025-10-15,22:34:17
13,75,7,2,90494.7,180989.4,2025-10-15,16:52:19
14,50,6,10,16715.31,167153.1,2025-10-15,16:12:34
15,12,1,4,43575.63,174302.52,2025-10-15,17:18:11
16,100,8,4,76234.22,304936.88,2025-10-15,22:58:30
17,114,3,7,66714.23,466999.61,2025-10-15,18:20:27
18,8,5,6,45081.97,270491.82,2025-10-15,10:59:30
19,76,9,8,19640.27,157122.16,2025-10-15,15:27:18
20,50,3,5,34237.05,171185.25,2025-10-15,06:38:21
21,29,9,4,40175.1,160700.4,2025-10-15,03:53:35
22,14,5,10,39033.44,390334.4,2025-10-15,19:53:35
23,112,1,8,28219.09,225752.72,2025-10-15,07:58:54
24,95,9,8,75690.31,605522.48,2025-10-15,01:12:13
25,56,6,1,8978.0,8978.0,2025-10-15,21:30:46
26,64,9,1,66732.26,66732.26,2025-10-15,16:48:13
27,62,2,5,65864.33,329321.65,2025-10-15,01:37:13
28,25,2,1,52262.21,52262.21,2025-10-15,19:48:07
29,59,4,4,32179.73,128718.92,2025-10-15,19:47:41
30,74,6,8,75504.76,604038.08,2025-10-15,21:36:01
31,98,5,3,94122.55,282367.65,2025-10-15,19:40:41
32,115,4,5,27979.76,139898.8,2025-10-15,16:17:09
33,58,2,4,90025.7,360102.8,2025-10-15,03:24:32
34,61,9,4,18028.48,72113.92,2025-10-15,01:39:34
35,32,7,5,11587.6,57938.0,2025-10-15,19:13:27
36,7,4,3,13501.7,40505.1,2025-10-15,06:13:22
37,112,8,4,65139.49,260557.96,2025-10-15,04:35:22
38,65,4,7,78665.42,550657.94,2025-10-15,12:43:57
39,35,5,3,10374.18,31122.54,2025-10-15,12:58:45
40,95,6,6,88844.16,533064.96,2025-10-15,02:53:18
41,66,2,1,89093.08,89093.08,2025-10-15,03:42:02
42,64,5,9,14159.31,127433.79,2025-10-15,23:09:40
43,83,1,10,23801.95,238019.5,2025-10-15,09:51:27
44,76,8,7,97016.08,679112.56,2025-10-15,02:26:16
45,17,4,3,9813.16,29439.48,2025-10-15,19:59:06
46,71,2,5,59252.63,296263.15,2025-10-15,18:07:18
47,105,2,6,87156.64,522939.84,2025-10-15,06:15:25
48,101,2,7,8459.6,59217.2,2025-10-15,14:23:59
49,111,4,8,98866.54,790932.32,2025-10-15,13:18:35
50,13,2,10,60391.73,603917.3,2025-10-15,16:50:05
51,37,7,9,51121.03,460089.27,2025-10-15,07:25:35
52,5,6,8,99576.11,796608.88,2025-10-15,21:49:35
53,46,2,9,25204.53,226840.77,2025-10-15,00:12:27
54,74,3,8,31309.29,250474.32,2025-10-15,01:25:51
55,50,2,10,84139.17,841391.7,2025-10-15,18:58:52
56,19,2,1,56199.73,56199.73,2025-10-15,03:18:02
57,26,4,10,60972.35,609723.5,2025-10-15,23:09:26
58,114,9,2,81918.68,163837.36,2025-10-15,02:13:05
59,77,9,4,32593.63,130374.52,2025-10-15,07:02:43
60,12,5,10,22815.43,228154.3,2025-10-15,16:38:19
61,2,4,3,76101.2,228303.6,2025-10-15,11:36:59
62,26,9,2,2806.74,5613.48,2025-10-15,09:08:39
63,5,10,4,93576.51,374306.04,2025-10-15,09:00:55
64,79,4,7,10764.89,75354.23,2025-10-15,10:11:25
65,111,1,9,28094.74,252852.66,2025-10-15,13:11:30
66,5,9,10,38808.19,388081.9,2025-10-15,06:21:12
67,104,10,1,41219.93,41219.93,2025-10-15,08:27:31
68,55,9,6,59488.28,356929.68,2025-10-15,20:22:00
69,99,1,8,5545.62,44364.96,2025-10-15,05:41:40
70,88,1,5,22800.65,114003.25,2025-10-15,13:15:07
71,73,7,7,14974.22,104819.54,2025-10-15,13:18:42
72,109,5,7,79590.39,557132.73,2025-10-15,16:07:56
73,1,7,5,8846.74,44233.7,2025-10-15,05:00:41
74,97,4,10,10183.62,101836.2,2025-10-15,07:50:25
75,117,10,7,22281.85,155972.95,2025-10-15,14:46:39
76,12,2,3,75808.84,227426.52,2025-10-15,22:37:30
77,111,8,5,41946.79,209733.95,2025-10-15,17:44:23
78,2,3,8,85071.35,680570.8,2025-10-15,18:15:23
79,90,6,6,56811.13,340866.78,2025-10-15,12:49:26
80,8,8,2,19304.36,38608.72,2025-10-15,06:25:37
81,65,2,1,84471.7,84471.7,2025-10-15,23:40:50
82,97,8,6,17677.94,106067.64,2025-10-15,06:56:39
83,62,4,7,95690.34,669832.38,2025-10-15,02:43:38
84,34,4,1,30595.28,30595.28,2025-10-15,15:54:08
85,82,8,5,70864.61,354323.05,2025-10-15,03:32:02
86,53,4,2,28332.11,56664.22,2025-10-15,18:20:59
87,82,3,8,73609.75,588878.0,2025-10-15,20:57:23
88,3,4,8,30255.32,242042.56,2025-10-15,13:45:18
89,4,8,4,25099.11,100396.44,2025-10-15,21:58:18
90,11,3,1,62137.84,62137.84,2025-10-15,09:02:23
91,66,8,5,30514.19,152570.95,2025-10-15,12:37:30
92,82,9,6,89650.36,537902.16,2025-10-15,03:09:52
93,112,6,4,51631.79,206527.16,2025-10-15,04:29:57
94,26,4,6,24718.31,148309.86,2025-10-15,15:17:48
95,18,2,10,26793.25,267932.5,2025-10-15,02:46:32
96,117,2,3,36595.53,109786.59,2025-10-15,02:34:22
97,72,1,5,97208.54,486042.7,2025-10-15,10:12:59
98,21,3,7,94307.65,660153.55,2025-10-15,07:34:45
99,70,3,4,44549.54,178198.16,2025-10-15,16:09:07
100,75,2,3,40493.53,121480.59,2025-10-15,04:40:21
101,71,8,3,30192.06,90576.18,2025-10-15,08:12:13
102,105,6,8,39785.23,318281.84,2025-10-15,16:16:31
103,47,10,1,65132.25,65132.25,2025-10-15,16:02:25
104,37,3,2,97470.72,194941.44,2025-10-15,02:45:23
105,18,1,10,41459.08,414590.8,2025-10-15,20:29:59
106,109,9,4,93804.45,375217.8,2025-10-15,21:04:31
107,6,4,10,13873.99,138739.9,2025-10-15,03:19:03
108,111,9,10,17298.06,172980.6,2025-10-15,00:42:18
109,1,1,7,56148.37,393038.59,2025-10-15,06:07:08
110,51,1,10,82439.81,824398.1,2025-10-15,09:09:11
111,6,6,9,46356.96,417212.64,2025-10-15,05:54:45
112,35,5,4,73414.25,293657.0,2025-10-15,02:41:19
113,90,5,3,47978.09,143934.27,2025-10-15,18:27:18
114,11,3,5,99602.46,498012.3,2025-10-15,06:15:16
115,89,10,6,89930.01,539580.06,2025-10-15,10:46:29
116,19,3,1,58266.03,58266.03,2025-10-15,13:26:15
117,33,4,7,64105.47,448738.29,2025-10-15,16:38:28
118,115,5,6,36962.37,221774.22,2025-10-15,17:42:56
119,80,7,2,57789.02,115578.04,2025-10-15,06:20:02
120,76,4,8,1208.89,9671.12,2025-10-15,22:24:17
121,73,3,7,56915.4,398407.8,2025-10-15,18:06:44
122,83,1,2,56314.9,112629.8,2025-10-15,04:17:06
123,3,1,4,86408.75,345635.0,2025-10-15,20:40:42
124,106,3,8,79597.74,636781.92,2025-10-15,11:03:15
125,111,4,10,91493.03,914930.3,2025-10-15,23:17:05
126,93,10,3,30172.42,90517.26,2025-10-15,19:02:58
127,88,7,9,33526.33,301736.97,2025-10-15,23:05:25
128,106,8,4,78452.0,313808.0,2025-10-15,02:11:57
129,91,10,10,92145.64,921456.4,2025-10-15,18:59:31
130,13,6,9,20410.46,183694.14,2025-10-15,16:01:57
131,53,1,3,29148.96,87446.88,2025-10-15,10:11:19
132,35,4,6,5486.15,32916.9,2025-10-15,17:10:50
133,36,1,8,66786.99,534295.92,2025-10-15,01:57:35
134,22,1,6,16793.47,100760.82,2025-10-15,04:25:39
135,6,4,8,22132.58,177060.64,2025-10-15,04:38:02
136,97,7,8,55504.2,444033.6,2025-10-15,15:14:13
137,113,10,3,45063.17,135189.51,2025-10-15,05:32:24
138,58,4,5,24777.93,123889.65,2025-10-15,15:12:48
139,5,2,9,7829.64,70466.76,2025-10-15,09:42:34
140,7,4,6,28204.09,169224.54,2025-10-15,06:36:52
141,115,4,5,76374.18,381870.9,2025-10-15,15:03:31
142,33,6,10,44367.27,443672.7,2025-10-15,06:00:13
143,73,5,3,6715.74,20147.22,2025-10-15,16:37:44
144,46,5,2,28696.81,57393.62,2025-10-15,17:09:58
145,73,9,5,63369.06,316845.3,2025-10-15,23:50:20
146,54,1,7,67661.13,473627.91,2025-10-15,16:06:37
147,108,4,2,51853.24,103706.48,2025-10-15,13:58:23
148,104,1,2,28485.08,56970.16,2025-10-15,13:02:06
149,47,8,3,95057.14,285171.42,2025-10-15,06:03:33
150,54,6,2,58688.34,117376.68,2025-10-15,22:36:35
151,13,1,3,21461.6,64384.8,2025-10-15,06:27:56
152,49,8,10,41378.4,413784.0,2025-10-15,13:00:11
153,91,8,10,25471.71,254717.1,2025-10-15,22:03:47
154,6,5,10,25255.42,252554.2,2025-10-15,11:58:15
155,22,5,4,6296.18,25184.72,2025-10-15,03:23:48
156,29,10,5,59179.78,295898.9,2025-10-15,16:44:48
157,27,3,5,99351.21,496756.05,2025-10-15,02:42:22
158,99,1,7,16133.16,112932.12,2025-10-15,09:15:02
159,5,9,2,68646.61,137293.22,2025-10-15,20:28:39
160,16,5,1,17912.97,17912.97,2025-10-15,23:27:10
161,26,5,4,58622.6,234490.4,2025-10-15,17:01:57
162,59,8,10,4509.66,45096.6,2025-10-15,22:08:00
163,3,10,8,28117.02,224936.16,2025-10-15,09:25:25
164,38,7,3,70249.02,210747.06,2025-10-15,07:37:45
165,92,1,10,66822.12,668221.2,2025-10-15,08:47:25
166,91,10,6,60779.27,364675.62,2025-10-15,23:31:31
167,113,8,10,62379.76,623797.6,2025-10-15,15:52:33
168,90,4,7,73964.94,517754.58,2025-10-15,20:26:51
169,14,6,5,87591.98,437959.9,2025-10-15,12:26:17
170,36,4,1,83471.09,83471.09,2025-10-15,08:54:05
171,23,9,3,73117.02,219351.06,2025-10-15,12:22:22
172,1,9,7,61164.12,428148.84,2025-10-15,14:44:08
173,87,10,4,94456.62,377826.48,2025-10-15,07:37:49
174,16,2,3,74695.97,224087.91,2025-10-15,21:17:25
175,90,6,2,13744.24,27488.48,2025-10-15,16:41:51
176,28,4,7,54318.37,380228.59,2025-10-15,14:21:04
177,7,9,1,87947.36,87947.36,2025-10-15,21:18:34
178,120,5,3,59702.27,179106.81,2025-10-15,22:20:48
179,12,2,7,93933.15,657532.05,2025-10-15,17:00:55
180,79,4,5,98137.49,490687.45,2025-10-15,12:12:51
181,79,6,2,86491.1,172982.2,2025-10-15,04:01:42
182,113,3,10,46411.2,464112.0,2025-10-15,03:02:26
183,15,5,7,18826.9,131788.3,2025-10-15,11:47:57
184,90,1,2,50977.67,101955.34,2025-10-15,18:54:54
185,67,1,8,75626.96,605015.68,2025-10-15,05:00:58
186,22,2,10,83985.05,839850.5,2025-10-15,08:34:43
187,5,8,5,75373.86,376869.3,2025-10-15,15:28:37
188,81,10,4,84288.98,337155.92,2025-10-15,05:28:32
189,111,6,8,14716.09,117728.72,2025-10-15,06:11:19
190,54,10,9,66263.24,596369.16,2025-10-15,04:02:52
191,33,2,10,73687.11,736871.1,2025-10-15,01:06:08
192,90,6,4,28669.21,114676.84,2025-10-15,03:17:45
193,35,2,6,74307.27,445843.62,2025-10-15,12:25:02
194,19,8,6,75803.24,454819.44,2025-10-15,08:24:24
195,117,8,3,80663.21,241989.63,2025-10-15,11:54:37
196,34,5,6,35349.11,212094.66,2025-10-15,03:30:03
197,93,10,5,12347.28,61736.4,2025-10-15,22:59:10
198,16,6,2,68975.44,137950.88,2025-10-15,16:18:34
199,63,4,8,67054.27,536434.16,2025-10-15,11:42:04
200,59,1,9,5571.18,50140.62,2025-10-15,18:11:36
201,103,10,7,19427.43,135992.01,2025-10-15,23:49:26
202,114,1,8,50965.02,407720.16,2025-10-15,11:08:27
203,16,2,4,29683.03,118732.12,2025-10-15,21:58:34
204,13,4,3,71628.12,214884.36,2025-10-15,12:10:50
205,66,9,10,87546.02,875460.2,2025-10-15,12:53:24
206,39,5,7,8444.26,59109.82,2025-10-15,05:59:52
207,75,7,7,68908.98,482362.86,2025-10-15,16:28:03
208,110,4,1,73772.63,73772.63,2025-10-15,08:53:31
209,118,10,7,92613.94,648297.58,2025-10-15,16:20:49
210,50,3,10,6295.31,62953.1,2025-10-15,09:27:20
211,67,10,10,69707.2,697072.0,2025-10-15,11:40:28
212,70,4,5,27566.38,137831.9,2025-10-15,12:51:56
213,96,3,4,54753.43,219013.72,2025-10-15,03:21:37
214,113,3,4,57541.38,230165.52,2025-10-15,05:30:05
215,104,3,3,1549.27,4647.81,2025-10-15,10:50:05
216,105,5,2,19627.54,39255.08,2025-10-15,00:44:47
217,8,5,5,39952.38,199761.9,2025-10-15,06:15:19
218,64,10,5,98956.76,494783.8,2025-10-15,05:18:24
219,113,10,7,46555.5,325888.5,2025-10-15,15:43:22
220,50,5,10,9404.23,94042.3,2025-10-15,09:07:39
221,18,6,2,89310.79,178621.58,2025-10-15,19:31:44
222,66,9,3,40420.83,121262.49,2025-10-15,23:43:13
223,51,7,7,42493.31,297453.17,2025-10-15,22:44:22
224,30,7,10,58792.71,587927.1,2025-10-15,20:25:03
225,45,5,6,65540.07,393240.42,2025-10-15,12:18:12
226,96,1,2,67906.03,135812.06,2025-10-15,07:04:18
227,38,4,9,68504.64,616541.76,2025-10-15,08:13:52
228,83,1,6,3703.1,22218.6,2025-10-15,13:09:20
229,73,9,3,31980.91,95942.73,2025-10-15,16:10:58
230,22,8,1,76733.34,76733.34,2025-10-15,09:34:52
231,27,1,7,53805.48,376638.36,2025-10-15,06:54:44
232,63,7,1,95899.1,95899.1,2025-10-15,08:35:38
233,27,6,6,33962.4,203774.4,2025-10-15,15:39:59
234,62,7,3,10779.91,32339.73,2025-10-15,06:15:52
235,30,5,9,68418.05,615762.45,2025-10-15,19:34:16
236,7,4,2,89490.73,178981.46,2025-10-15,21:17:18
237,21,8,9,65335.07,588015.63,2025-10-15,16:37:54
238,116,4,2,6627.75,13255.5,2025-10-15,00:54:59
239,16,4,4,20748.73,82994.92,2025-10-15,20:37:54
240,114,10,7,20666.18,144663.26,2025-10-15,06:20:51
241,117,2,8,26408.92,211271.36,2025-10-15,04:22:47
242,34,3,3,8101.64,24304.92,2025-10-15,11:26:38
243,103,10,10,32483.14,324831.4,2025-10-15,02:09:00
244,63,9,1,22799.38,22799.38,2025-10-15,18:23:03
245,34,2,3,62523.27,187569.81,2025-10-15,18:57:24
246,38,7,7,50850.63,355954.41,2025-10-15,14:07:53
247,11,1,3,23498.02,70494.06,2025-10-15,08:07:15
248,35,4,3,49963.96,149891.88,2025-10-15,15:53:58
249,101,7,10,39017.61,390176.1,2025-10-15,11:59:49
250,115,5,8,30701.04,245608.32,2025-10-15,04:57:39
251,81,1,5,51497.06,257485.3,2025-10-15,12:01:42
252,64,6,10,8889.95,88899.5,2025-10-15,17:50:04
253,66,1,7,53944.33,377610.31,2025-10-15,01:57:47
254,38,4,4,40794.98,163179.92,2025-10-15,08:52:49
255,7,3,2,66668.07,133336.14,2025-10-15,21:47:41
